ID;NAME;REGION;TLEVEL;GENDER;AGE;SSN;PERSONALIZEDEMAIL
1002;James;NA;T1;Male;27;63434869;
1005;Sam;EMEA;T1;Male;42;63495958;
1003;Keally;EMEA;T2;Female;50;63486746;
1006;Alex;APJ;T2;Male;12;63477635;
2001;Alex;APJ;T2;Male;12;63477635;
2002;Keally;EMEA;T2;Female;50;63486746;
2003;Sam;EMEA;T1;Male;42;63495958;
2004;James;NA;T1;Male;27;63434869;
2011;Alex;APJ;T2;Male;12;63477635;
2012;Keally;EMEA;T2;Female;50;63486746;
2013;Sam;EMEA;T1;Male;42;63495958;
2014;James;NA;T1;Male;27;63434869;
2021;Alex;APJ;T2;Male;12;63477635;
2022;Keally;EMEA;T2;Female;50;63486746;
2023;Sam;EMEA;T1;Male;42;63495958;
2024;James;NA;T1;Male;27;63434869;
2031;Alex;APJ;T2;Male;12;63477635;
2032;Keally;EMEA;T2;Female;50;63486746;
2033;Sam;EMEA;T1;Male;42;63495958;
2034;James;NA;T1;Male;27;63434869;
